fecha;provincia;siglas;grupo_edad;hombres;mujeres;tasa_hombres_x1000;tasa_mujeres_x1000;enfermos
08/04/2020;Soria;SO;40-49;147;198;2.171.664.943;3.185.840.708;345
08/04/2020;Soria;SO;50-59;162;238;2.219.482.121;3.717.007.653;400
08/04/2020;Valladolid;VA;50-59;502;691;1.271.626.517;1.711.794.287;1193
08/04/2020;Castilla y León;CyL;50-59;3016;4304;1.642.155.929;2.362.317.091;7320
08/04/2020;Soria;SO;60-69;122;146;2.245.123.298;2.974.129.151;268
08/04/2020;Valladolid;VA;60-69;378;480;1.213.327.342;1.426.703.127;858
08/04/2020;León;LE;70-79;351;294;1.680.390.655;1.186.680.121;645
08/04/2020;Palencia;PA;70-79;84;89;1.128.880.527;113.015.873;173
08/04/2020;Castilla y León;CyL;70-79;1738;1580;1.592.450.064;1.288.554.698;3318
08/04/2020;Ávila;AV;80->80;184;237;3.104.961.188;2.627.785.786;421
08/04/2020;Burgos;BU;80->80;262;304;2.377.064.054;1.634.760.163;566
08/04/2020;Soria;SO;80->80;114;185;3.123.287.671;3.254.177.661;299
09/04/2020;Soria;SO;0-9;29;22;8.595.139.301;6.798.516.687;51
09/04/2020;Zamora;ZA;0-9;110;103;2.249.948.865;22.960.321;213
09/04/2020;León;LE;10-19;86;96;5.040.736.182;5.902.969.932;182
09/04/2020;Salamanca;SA;10-19;106;105;7.493.814.069;7.647.487.254;211
09/04/2020;Soria;SO;10-19;22;19;5.554.152.992;5.128.205.128;41
09/04/2020;Segovia;SE;20-29;107;144;1.387.268.248;2.000.833.681;251
09/04/2020;Zamora;ZA;20-29;29;45;4.364.840.458;7.362.565.445;74
09/04/2020;Ávila;AV;30-39;158;229;1.902.468.393;2.799.853.283;387
09/04/2020;Burgos;BU;30-39;378;496;1.813.036.596;2.480.372.056;874
09/04/2020;Salamanca;SA;30-39;355;562;1.957.108.992;3.021.180.518;917
09/04/2020;Palencia;PA;40-49;191;250;1.682.967.662;226.777.939;441
09/04/2020;Salamanca;SA;40-49;462;704;202.809.482;2.989.892.126;1166
09/04/2020;Castilla y León;CyL;40-49;3003;4369;1.672.244.527;2.462.226.881;7372
09/04/2020;Ávila;AV;50-59;217;339;1.821.539.495;292.544.011;556
09/04/2020;Burgos;BU;50-59;470;659;1.683.501.684;2.467.148.366;1129
09/04/2020;León;LE;50-59;483;677;1.382.369.777;1.899.604.366;1160
09/04/2020;Palencia;PA;50-59;181;260;1.424.972.445;2.136.576.547;441
09/04/2020;Castilla y León;CyL;50-59;3069;4401;1.671.013.443;2.415.557.044;7470
09/04/2020;Ávila;AV;60-69;217;244;2.150.431.077;2.700.608.744;461
09/04/2020;Burgos;BU;60-69;348;377;1.492.857.449;1.737.807.689;725
09/04/2020;Castilla y León;CyL;60-69;2489;2857;163.360.943;1.911.637.772;5346
09/04/2020;Ávila;AV;70-79;148;146;2.089.215.133;1.920.042.083;294
09/04/2020;Burgos;BU;70-79;226;201;1.389.486.628;1.169.828.891;427
09/04/2020;Salamanca;SA;70-79;289;290;1.928.337.893;1.653.081.001;579
09/04/2020;Segovia;SE;70-79;228;176;4.019.037.546;2.809.257.781;404
09/04/2020;Valladolid;VA;70-79;323;330;1.347.911.363;1.203.237.804;653
09/04/2020;Castilla y León;CyL;70-79;1788;1638;1.638.262.782;1.335.856.073;3426
09/04/2020;Ávila;AV;80->80;193;253;325.683.429;2.805.189.045;446
09/04/2020;León;LE;80->80;381;508;2.203.203.608;1.717.318.549;889
09/04/2020;Segovia;SE;80->80;288;380;600.125.026;4.748.219.418;668
09/04/2020;Soria;SO;80->80;125;197;3.424.657.534;3.465.259.455;322
10/04/2020;Salamanca;SA;0-9;177;206;1.581.910.805;1.940.650.024;383
10/04/2020;Valladolid;VA;0-9;203;186;9.613.107.923;9.280.974.003;389
10/04/2020;Zamora;ZA;0-9;112;103;2.290.857.026;22.960.321;215
10/04/2020;Salamanca;SA;10-19;108;108;7.635.206.787;786.598.689;216
10/04/2020;Burgos;BU;20-29;202;292;1.261.238.761;194.809.527;494
10/04/2020;León;LE;20-29;162;259;878.477.306;1.502.145.923;421
10/04/2020;Burgos;BU;30-39;383;507;1.837.018.562;2.535.380.307;890
10/04/2020;Soria;SO;30-39;77;133;1.455.026.455;2.686.868.687;210
10/04/2020;Castilla y León;CyL;30-39;2088;3100;1.546.723.953;2.334.442.821;5188
10/04/2020;Soria;SO;40-49;153;217;2.260.304.329;3.491.552.695;370
10/04/2020;Valladolid;VA;40-49;607;893;1.352.465.409;2.038.393.937;1500
10/04/2020;Zamora;ZA;40-49;88;136;7.989.831.124;1.253.802.895;224
10/04/2020;León;LE;50-59;495;704;1.416.714.367;1.975.364.067;1199
10/04/2020;Palencia;PA;50-59;189;267;1.487.954.653;2.194.099.762;456
10/04/2020;Salamanca;SA;50-59;581;875;2.337.840.013;3.457.814.661;1456
10/04/2020;Burgos;BU;60-69;352;387;151.001.673;1.783.903.383;739
10/04/2020;León;LE;60-69;420;498;1.387.558.228;1.656.686.627;918
10/04/2020;Salamanca;SA;60-69;460;518;2.293.234.957;2.534.990.702;978
10/04/2020;Ávila;AV;80->80;204;294;3.442.456.969;3.259.784.899;498
10/04/2020;Palencia;PA;80->80;113;171;2.264.075.336;1.888.042.398;284
10/04/2020;Salamanca;SA;80->80;366;489;2.944.252.273;2.449.654.343;855
10/04/2020;Segovia;SE;80->80;294;391;6.126.276.308;4.885.667.875;685
11/04/2020;Ávila;AV;0-9;79;65;135.855.546;1.217.456.453;144
11/04/2020;Zamora;ZA;0-9;112;103;2.290.857.026;22.960.321;215
11/04/2020;Palencia;PA;10-19;44;34;7.004.138.809;574.421.355;78
11/04/2020;Soria;SO;10-19;22;22;5.554.152.992;5.937.921.727;44
11/04/2020;Valladolid;VA;20-29;236;325;982.596.386;1.382.861.033;561
11/04/2020;Zamora;ZA;20-29;30;46;4.515.352.197;752.617.801;76
11/04/2020;Ávila;AV;30-39;162;238;1.950.632.149;2.909.891.185;400
11/04/2020;Salamanca;SA;30-39;361;575;199.018.689;3.091.065.477;936
11/04/2020;Soria;SO;30-39;78;133;1.473.922.902;2.686.868.687;211
11/04/2020;Castilla y León;CyL;30-39;2099;3123;1.554.872.403;2.351.762.881;5222
11/04/2020;Ávila;AV;40-49;242;356;2.214.697.538;3.323.996.265;598
11/04/2020;Palencia;PA;40-49;199;259;1.753.458.454;2.349.419.448;458
11/04/2020;Salamanca;SA;40-49;477;723;2.093.942.054;3.070.585.237;1200
11/04/2020;Zamora;ZA;40-49;88;136;7.989.831.124;1.253.802.895;224
11/04/2020;Ávila;AV;50-59;222;351;1.863.510.451;3.028.995.513;573
11/04/2020;Salamanca;SA;50-59;584;883;2.349.911.476;3.489.428.967;1467
11/04/2020;Segovia;SE;50-59;387;535;331.080.503;4.632.435.709;922
11/04/2020;Zamora;ZA;50-59;95;146;7.380.933.882;1.171.467.544;241
11/04/2020;Ávila;AV;60-69;224;248;2.219.799.822;2.744.881.018;472
11/04/2020;Palencia;PA;60-69;159;171;1.363.519.424;1.580.114.581;330
11/04/2020;Valladolid;VA;60-69;389;507;1.248.635.809;1.506.955.178;896
11/04/2020;Zamora;ZA;60-69;84;86;7.245.751.747;802.238.806;170
11/04/2020;Castilla y León;CyL;60-69;2544;2942;166.970.767;196.851.184;5486
11/04/2020;Ávila;AV;70-79;152;152;2.145.680.407;1.998.947.922;304
11/04/2020;León;LE;70-79;363;306;1.737.839.908;1.235.116.044;669
11/04/2020;Palencia;PA;70-79;98;94;1.317.027.281;1.193.650.794;192
11/04/2020;Soria;SO;70-79;80;59;1.987.083.954;1.453.918.186;139
11/04/2020;Ávila;AV;80->80;209;299;3.526.830.915;3.315.223.417;508
11/04/2020;León;LE;80->80;400;534;2.313.074.654;1.805.212.806;934
11/04/2020;Valladolid;VA;80->80;317;590;231.218.089;2.533.602.439;907
11/04/2020;Zamora;ZA;80->80;66;83;8.433.427.038;6.694.628.166;149
12/04/2020;Ávila;AV;0-9;79;65;135.855.546;1.217.456.453;144
12/04/2020;Palencia;PA;0-9;35;17;6.245.538.901;3.254.834.386;52
12/04/2020;Salamanca;SA;0-9;177;206;1.581.910.805;1.940.650.024;383
12/04/2020;Segovia;SE;0-9;73;61;1.230.613.621;1.085.795.657;134
12/04/2020;Valladolid;VA;0-9;208;186;984.988.398;9.280.974.003;394
12/04/2020;Zamora;ZA;0-9;112;103;2.290.857.026;22.960.321;215
12/04/2020;León;LE;10-19;87;98;5.099.349.393;6.025.948.472;185
12/04/2020;Burgos;BU;20-29;203;293;1.267.482.517;1.954.766.829;496
12/04/2020;Salamanca;SA;20-29;205;320;1.257.668.712;1.848.001.848;525
12/04/2020;Segovia;SE;20-29;112;146;1.452.093.867;2.028.623.037;258
12/04/2020;Soria;SO;30-39;80;134;1.511.715.797;2.707.070.707;214
12/04/2020;Valladolid;VA;30-39;429;635;1.370.519.456;2.032.195.091;1064
12/04/2020;Castilla y León;CyL;30-39;2110;3136;1.563.020.853;236.155.248;5246
12/04/2020;Palencia;PA;40-49;203;260;1.788.703.851;2.358.490.566;463
12/04/2020;Soria;SO;40-49;153;220;2.260.304.329;3.539.823.009;373
12/04/2020;Valladolid;VA;40-49;619;912;1.379.202.781;2.081.764.021;1531
12/04/2020;Ávila;AV;50-59;224;354;1.880.298.833;3.054.884.363;578
12/04/2020;Valladolid;VA;50-59;531;739;1.345.087.013;1.830.703.297;1270
12/04/2020;Zamora;ZA;50-59;95;146;7.380.933.882;1.171.467.544;241
12/04/2020;Burgos;BU;60-69;356;392;1.527.176.011;1.806.951.231;748
12/04/2020;León;LE;60-69;428;505;1.413.987.908;1.679.973.387;933
12/04/2020;Valladolid;VA;60-69;392;512;1.258.265.391;1.521.816.669;904
12/04/2020;Ávila;AV;70-79;154;152;2.173.913.043;1.998.947.922;306
12/04/2020;Burgos;BU;70-79;235;218;1.444.820.166;1.268.769.643;453
12/04/2020;Valladolid;VA;70-79;343;348;1.431.373.367;1.268.868.956;691
12/04/2020;Burgos;BU;80->80;293;393;2.658.319.724;2.113.357.711;686
13/04/2020;Burgos;BU;0-9;153;117;107.338.291;8.698.884.758;270
13/04/2020;Palencia;PA;0-9;35;18;6.245.538.901;3.446.295.233;53
13/04/2020;Salamanca;SA;0-9;188;213;1.680.221.646;2.006.594.442;401
13/04/2020;Soria;SO;0-9;31;22;9.187.907.528;6.798.516.687;53
13/04/2020;Valladolid;VA;0-9;220;191;1.041.814.652;9.530.462.552;411
13/04/2020;Zamora;ZA;0-9;114;107;2.331.765.187;2.385.198.395;221
13/04/2020;Ávila;AV;10-19;57;48;8.172.043.011;7.381.208.673;105
13/04/2020;Burgos;BU;10-19;106;105;6.552.512.827;6.860.951.385;211
13/04/2020;Salamanca;SA;10-19;113;114;7.988.688.583;8.302.986.162;227
13/04/2020;Soria;SO;10-19;24;24;6.059.075.991;6.477.732.794;48
13/04/2020;Zamora;ZA;10-19;29;32;5.006.906.077;5.702.066.999;61
13/04/2020;Ávila;AV;20-29;95;131;1.330.159.619;1.985.450.136;226
13/04/2020;Burgos;BU;20-29;208;291;1.298.701.299;1.941.423.711;499
13/04/2020;Zamora;ZA;20-29;32;46;4.816.375.677;752.617.801;78
13/04/2020;Burgos;BU;30-39;392;522;18.801.861;2.610.391.559;914
13/04/2020;Salamanca;SA;30-39;373;594;2.056.342.687;3.193.205.032;967
13/04/2020;Soria;SO;30-39;84;142;1.587.301.587;2.868.686.869;226
13/04/2020;Castilla y León;CyL;30-39;2167;3213;1.605.244.639;2.419.537.027;5380
13/04/2020;Palencia;PA;40-49;208;270;1.832.760.596;2.449.201.742;478
13/04/2020;Segovia;SE;40-49;335;434;2.944.537.224;3.767.688.167;769
13/04/2020;Valladolid;VA;40-49;645;941;1.437.133.754;2.147.960.465;1586
13/04/2020;Palencia;PA;50-59;199;281;1.566.682.412;2.309.146.191;480
13/04/2020;Salamanca;SA;50-59;601;914;2.418.316.433;36.119.344;1515
13/04/2020;Segovia;SE;50-59;404;547;345.624.091;4.736.340.809;951
13/04/2020;Valladolid;VA;50-59;558;782;1.413.481.268;1.937.225.952;1340
13/04/2020;Burgos;BU;60-69;363;399;1.557.204.753;1.839.218.217;762
13/04/2020;León;LE;60-69;437;519;1.443.721.299;1.726.546.906;956
13/04/2020;Castilla y León;CyL;60-69;2634;3041;1.728.777.517;2.034.753.401;5675
13/04/2020;Segovia;SE;70-79;237;189;4.177.683.765;3.016.759.777;426
13/04/2020;Valladolid;VA;70-79;375;373;1.564.912.574;1.360.023.336;748
13/04/2020;Zamora;ZA;80->80;73;93;9.327.881.421;7.501.209.873;166
13/04/2020;Castilla y León;CyL;80->80;2407;3686;2.948.020.772;2.718.529.663;6093
14/04/2020;León;LE;0-9;176;164;121.968.122;1.222.056.632;340
14/04/2020;Palencia;PA;0-9;35;18;6.245.538.901;3.446.295.233;53
14/04/2020;Salamanca;SA;0-9;191;216;1.707.033.694;2.034.856.335;407
14/04/2020;Zamora;ZA;0-9;116;112;2.372.673.348;2.496.656.264;228
14/04/2020;Ávila;AV;10-19;60;50;8.602.150.538;7.688.759.034;110
14/04/2020;Burgos;BU;10-19;109;111;6.737.961.303;725.300.575;220
14/04/2020;Soria;SO;10-19;24;24;6.059.075.991;6.477.732.794;48
