fecha;provincia;Personas en centros residenciales;Mortalidad en residencias;Fallecidos con COVID19 confirmado;Fallecidos con síntomas compatibles;Confirmados con COVID19;Aislados con síntomas compatibles con COVID19;En aislamiento preventivo sin síntomas;codigo_ine
2020-05-03;Valladolid;6915;633;258;120;1080;135;589;47186
2020-05-03;Zamora;4359;221;52;62;174;60;496;49275
2020-05-04;Zamora;4354;222;54;62;172;59;495;49275
2020-05-05;Burgos;6448;464;158;103;821;47;767;9059
2020-05-08;Palencia;4161;196;50;36;271;24;309;34120
2020-05-08;Valladolid;6896;659;266;122;1071;117;526;47186
2020-05-09;Soria;2167;290;107;91;683;30;312;42173
2020-05-09;Valladolid;6896;662;268;123;1060;120;559;47186
2020-05-11;Ávila;3385;338;112;83;505;56;282;5019
2020-05-11;Burgos;6438;499;164;106;812;45;506;9059
2020-05-11;Zamora;4327;245;56;63;210;25;322;49275
2020-05-12;Ávila;3380;342;114;83;521;39;287;5019
2020-05-13;Zamora;4326;247;57;63;235;24;289;49275
2020-05-15;León;6957;740;211;185;904;30;437;24089
2020-05-18;Ávila;3381;357;117;85;521;42;324;5019
2020-05-20;Salamanca;6277;777;256;207;1047;37;462;37274
2020-05-22;León;6954;789;213;187;930;29;345;24089
2020-05-22;Salamanca;6270;782;257;207;1051;37;439;37274
2020-05-22;Valladolid;6817;726;284;125;1045;16;591;47186
2020-05-23;Palencia;4146;222;52;36;313;3;67;34120
2020-05-23;Soria;2173;306;108;92;706;2;152;42173
2020-05-25;Burgos;6362;538;170;109;976;23;298;9059
2020-05-25;León;6929;816;215;188;948;25;124;24089
2020-05-25;Segovia;2374;534;187;196;864;5;188;40004
2020-05-26;Ávila;3440;373;120;85;536;24;254;5019
2020-05-26;León;6926;824;215;188;950;21;121;24089
2020-05-27;Ávila;3434;380;120;85;552;24;230;5019
2020-05-27;Burgos;6361;544;171;109;974;19;273;9059
2020-05-29;Burgos;6360;548;171;109;988;10;64;9059
2020-05-29;Valladolid;6791;764;291;125;1123;16;203;47186
2020-06-01;Salamanca;6263;810;260;207;1084;28;163;37274
2020-06-02;Burgos;6339;551;171;109;996;7;55;9059
2020-06-02;Palencia;4099;245;53;36;321;3;36;34120
2020-06-02;Salamanca;6244;810;260;207;1093;26;161;37274
2020-06-03;Ávila;3413;385;123;85;586;5;173;5019
2020-06-04;Salamanca;6225;810;260;207;1090;16;97;37274
2020-04-08;Ávila;3929;132;37;60;117;246;361;5019
2020-04-08;Palencia;4253;83;15;29;37;141;611;34120
2020-04-11;Ávila;3889;155;54;74;226;191;352;5019
2020-04-12;Ávila;3880;158;57;76;269;176;385;5019
2020-04-12;Burgos;6681;216;67;89;230;389;701;9059
2020-04-12;Zamora;4390;75;11;41;55;164;307;49275
2020-04-13;Valladolid;7173;324;126;119;683;149;683;47186
2020-04-14;Zamora;4368;79;23;51;138;84;324;49275
2020-04-15;Soria;2261;146;76;82;241;186;812;42173
2020-04-16;Soria;2245;179;76;86;243;145;849;42173
2020-04-20;Zamora;4429;165;37;55;170;83;574;49275
2020-04-22;Ávila;3525;276;92;75;438;101;336;5019
2020-04-22;Soria;2218;242;87;87;519;87;628;42173
2020-04-26;Soria;2196;256;93;87;569;59;612;42173
2020-04-26;Zamora;4391;197;46;58;175;74;587;49275
2020-04-27;Burgos;6496;393;132;102;737;96;750;9059
2020-04-27;Segovia;2386;472;172;202;590;108;525;40004
2020-04-27;Soria;2194;257;94;87;577;55;600;42173
2020-04-27;Valladolid;6970;563;242;119;1077;171;540;47186
2020-04-27;Zamora;4386;197;49;60;176;62;465;49275
2020-04-28;Burgos;6489;402;135;101;757;71;766;9059
2020-04-29;Palencia;4184;176;46;36;267;47;454;34120
2020-04-29;Soria;2193;265;97;87;597;49;596;42173
2020-04-29;Zamora;4383;201;49;60;167;62;479;49275
2020-05-01;Salamanca;6346;616;220;205;768;177;841;37274
2020-05-02;León;6991;644;186;184;818;37;682;24089
2020-05-03;Burgos;6471;452;150;101;820;71;788;9059
2020-05-04;Burgos;6452;457;155;102;820;51;774;9059
2020-05-05;Soria;2176;277;102;89;580;42;570;42173
2020-05-07;Valladolid;6896;652;266;122;1086;118;523;47186
2020-05-09;Ávila;3387;331;112;83;492;62;288;5019
2020-05-10;Palencia;4168;201;50;36;283;28;308;34120
2020-05-10;Salamanca;6303;720;248;207;985;93;814;37274
2020-05-10;Soria;2168;295;107;91;683;28;308;42173
2020-05-10;Zamora;4331;244;56;63;211;29;328;49275
2020-05-11;Soria;2166;295;108;91;677;26;300;42173
2020-05-12;Soria;2168;296;108;91;676;25;296;42173
2020-05-14;León;6949;740;210;185;871;25;461;24089
2020-05-15;Ávila;3384;352;116;84;522;44;327;5019
2020-05-16;Segovia;2374;523;182;198;841;17;255;40004
2020-05-17;León;6957;758;212;187;903;37;365;24089
2020-05-17;Palencia;4160;208;51;36;311;9;275;34120
2020-05-17;Salamanca;6286;766;255;206;1031;55;520;37274
2020-05-17;Segovia;2370;525;182;199;843;6;255;40004
2020-05-17;Valladolid;6867;707;277;124;1049;109;487;47186
2020-05-19;Palencia;4195;213;52;36;313;8;265;34120
2020-05-20;Segovia;2374;526;187;196;857;5;249;40004
2020-05-21;Ávila;3456;363;117;85;549;24;293;5019
2020-05-21;Segovia;2370;527;187;196;859;5;228;40004
2020-05-21;Zamora;4209;269;58;63;274;12;97;49275
2020-04-08;León;7406;283;75;137;199;345;433;24089
2020-04-09;Ávila;3923;146;38;64;125;239;361;5019
2020-04-09;Valladolid;7242;289;84;109;374;222;512;47186
2020-04-10;Burgos;6710;208;52;90;75;449;554;9059
2020-04-11;Salamanca;6610;279;120;149;369;468;1189;37274
2020-04-11;Zamora;4391;73;10;41;46;138;308;49275
2020-04-12;León;7316;348;93;164;424;232;463;24089
2020-04-12;Salamanca;6593;284;120;161;367;474;1180;37274
2020-04-12;Valladolid;7195;320;107;114;579;191;742;47186
2020-04-13;Palencia;4234;103;23;31;171;92;645;34120
2020-04-14;Burgos;6674;223;74;95;400;270;637;9059
2020-04-14;Salamanca;6585;292;133;169;391;438;1162;37274
2020-04-16;Ávila;3667;205;79;83;346;129;377;5019
2020-04-16;Zamora;4449;103;27;52;139;83;333;49275
2020-04-17;Ávila;3667;213;80;82;345;110;366;5019
2020-04-17;Palencia;4224;118;32;34;238;80;623;34120
2020-04-18;Valladolid;7106;446;174;129;1079;171;484;47186
2020-04-19;Ávila;3543;256;85;77;383;108;394;5019
2020-04-19;Burgos;6598;316;99;98;611;169;843;9059
2020-04-19;Valladolid;7097;471;191;126;1074;170;486;47186
