fecha;provincia;siglas;grupo_edad;hombres;mujeres;tasa_hombres_x1000;tasa_mujeres_x1000;enfermos
2020-04-07;Soria;SO;70-79;67;48;16.64182812;11.82848694;115
2020-04-07;Burgos;BU;>80;252;289;22.86336418;15.54097655;541
2020-04-07;Palencia;PA;>80;96;145;19.23462232;16.00971624;241
2020-04-07;Valladolid;VA;>80;266;388;19.40189643;16.66165672;654
2020-04-08;Ávila;AV;0-9;75;61;12.89767842;11.42536055;136
2020-04-08;Burgos;BU;0-9;136;111;9.541181423;8.252788104;247
2020-04-08;Soria;SO;0-9;28;22;8.298755187;6.798516687;50
2020-04-08;Soria;SO;10-19;20;18;5.049229992;4.858299595;38
2020-04-08;Ávila;AV;20-29;87;120;12.18146178;18.18732949;207
2020-04-08;Burgos;BU;20-29;189;278;11.8006993;18.54693442;467
2020-04-08;León;LE;20-29;156;248;8.459411095;14.38348219;404
2020-04-08;Salamanca;SA;20-29;197;300;12.08588957;17.32501733;497
2020-04-08;Soria;SO;20-29;46;67;10.44742221;16.30567048;113
2020-04-08;Zamora;ZA;20-29;29;44;4.364840458;7.19895288;73
2020-04-08;Salamanca;SA;30-39;349;557;19.24031093;29.94301688;906
2020-04-08;Zamora;ZA;30-39;54;101;6.302521008;12.84823814;155
2020-04-08;Burgos;BU;40-49;493;681;17.29945961;25.18025513;1174
2020-04-08;Segovia;SE;40-49;315;406;27.68743957;35.24611511;721
2020-04-08;Zamora;ZA;40-49;84;127;7.626656982;11.70830644;211
2020-04-08;Burgos;BU;50-59;463;642;16.58428254;24.03504174;1105
2020-04-08;Salamanca;SA;50-59;562;842;22.61387413;33.27405651;1404
2020-04-08;Segovia;SE;50-59;374;514;31.99589358;44.50601784;888
2020-04-08;Burgos;BU;60-69;346;371;14.84277809;17.10150272;717
2020-04-08;León;LE;60-69;406;466;13.41306287;15.50232868;872
2020-04-08;Salamanca;SA;60-69;448;504;22.33411436;24.6647744;952
2020-04-08;Segovia;SE;60-69;315;349;35.83617747;42.90104487;664
2020-04-08;Zamora;ZA;60-69;80;85;6.900715949;7.929104478;165
2020-04-08;Castilla y León;CyL;60-69;2451;2802;16.08668828;18.74836905;5253
2020-04-08;Soria;SO;70-79;72;50;17.88375559;12.32134056;122
2020-04-08;Valladolid;VA;70-79;315;313;13.14526562;11.41252826;628
2020-04-08;Zamora;ZA;70-79;49;46;5.559968229;4.651162791;95
2020-04-08;Palencia;PA;>80;105;162;21.03786816;17.88671746;267
2020-04-08;Zamora;ZA;>80;54;54;6.900076668;4.355541216;108
2020-04-08;Castilla y León;CyL;>80;1993;2766;24.40966098;20.4000354;4759
2020-04-09;Ávila;AV;0-9;77;64;13.24161651;11.98726353;141
2020-04-09;Burgos;BU;0-9;140;112;9.821804406;8.327137546;252
2020-04-09;Salamanca;SA;0-9;176;202;15.72973456;19.02967499;378
2020-04-09;Segovia;SE;0-9;72;61;12.137559;10.85795657;133
2020-04-09;Castilla y León;CyL;0-9;990;917;11.43134266;11.26148254;1907
2020-04-09;Palencia;PA;10-19;40;29;6.367398918;4.899476263;69
2020-04-09;Segovia;SE;10-19;39;34;5.374862183;4.934687954;73
2020-04-09;Castilla y León;CyL;10-19;572;572;5.590578117;5.8800551;1144
2020-04-09;Ávila;AV;20-29;88;123;12.32147858;18.64201273;211
2020-04-09;Burgos;BU;20-29;196;285;12.23776224;19.01394356;481
2020-04-09;Castilla y León;CyL;20-29;1142;1620;10.61910695;15.63676377;2762
2020-04-09;Palencia;PA;30-39;139;166;15.04817581;19.2575406;305
2020-04-09;Soria;SO;30-39;78;134;14.73922902;27.07070707;212
2020-04-09;Zamora;ZA;30-39;55;102;6.41923436;12.97544842;157
2020-04-09;Ávila;AV;40-49;240;353;21.96394253;32.95985061;593
2020-04-09;Burgos;BU;40-49;497;697;17.43982034;25.77186171;1194
2020-04-09;Soria;SO;40-49;150;211;22.15984636;33.95012068;361
2020-04-09;Valladolid;VA;40-49;598;872;13.32412379;19.90458582;1470
2020-04-09;Zamora;ZA;40-49;86;132;7.808244053;12.16926339;218
2020-04-09;Salamanca;SA;50-59;570;852;22.93577982;33.66923533;1422
2020-04-09;Segovia;SE;50-59;375;521;32.08144409;45.11213092;896
2020-04-09;Valladolid;VA;50-59;510;707;12.91891481;17.51430624;1217
2020-04-09;Valladolid;VA;60-69;385;492;12.35796366;14.62370705;877
2020-04-09;León;LE;70-79;358;301;17.13902719;12.1493441;659
2020-04-09;Zamora;ZA;70-79;50;49;5.673436968;4.954499494;99
2020-04-09;Valladolid;VA;>80;295;540;21.51714077;23.18890368;835
2020-04-09;Zamora;ZA;>80;61;71;7.79453105;5.726730118;132
2020-04-09;Castilla y León;CyL;>80;2081;2921;25.48745836;21.54320441;5002
2020-04-10;Burgos;BU;0-9;145;115;10.17258313;8.550185874;260
2020-04-10;León;LE;0-9;168;159;11.64241164;11.84798808;327
2020-04-10;Segovia;SE;0-9;73;61;12.30613621;10.85795657;134
2020-04-10;Soria;SO;0-9;29;22;8.595139301;6.798516687;51
2020-04-10;Ávila;AV;10-19;55;47;7.885304659;7.227433492;102
2020-04-10;Burgos;BU;10-19;102;101;6.305248192;6.599581809;203
2020-04-10;Palencia;PA;10-19;42;32;6.685768863;5.406318635;74
2020-04-10;Segovia;SE;10-19;40;35;5.512679162;5.079825835;75
2020-04-10;Zamora;ZA;10-19;28;32;4.834254144;5.702066999;60
2020-04-10;Castilla y León;CyL;10-19;593;589;5.795826614;6.054811982;1182
2020-04-10;Palencia;PA;20-29;84;91;12.23597961;13.92075876;175
2020-04-10;Salamanca;SA;20-29;202;316;12.39263804;18.24901825;518
2020-04-10;Segovia;SE;20-29;112;147;14.52093867;20.42517716;259
2020-04-10;Zamora;ZA;20-29;29;46;4.364840458;7.52617801;75
2020-04-10;Castilla y León;CyL;20-29;1166;1664;10.84227558;16.06146599;2830
2020-04-10;Ávila;AV;30-39;160;234;19.26550271;28.60985451;394
2020-04-10;Segovia;SE;30-39;188;241;21.14260009;27.40816559;429
2020-04-10;Zamora;ZA;30-39;55;102;6.41923436;12.97544842;157
2020-04-10;Castilla y León;CyL;40-49;3059;4454;17.03428575;25.10130128;7513
2020-04-10;Ávila;AV;50-59;222;350;18.63510451;30.20365896;572
