CodMunicipio;Municipio;Casos PCR+;Tasa PCR+;Caso PCR+ 14 dias;Tasas PCR+14;Casos fallecidos;Tasa fallecidos
46033;Almiserà;0;0;0;0;0;0
46034;Almoines;3;12,43;0;0;0;0
46035;Almussafes;19;21,19;2;2,23;0;0
46036;Alpuente;3;47,39;0;0;0;0
46037;Alqueria de la Comtessa (l');1;6,78;0;0;0;0
46038;Andilla;0;0;0;0;0;0
46039;Anna;4;15,22;0;0;2;7,61
46040;Antella;8;68,09;0;0;5;42,55
46041;Aras de los Olmos;0;0;0;0;0;0
46042;Aielo de Malferit;1;2,17;0;0;0;0
46043;Aielo de Rugat;0;0;0;0;0;0
46044;Ayora;60;112,95;1;1,88;9;16,94
46045;Barxeta;1;6,25;0;0;0;0
46046;Barx;0;0;0;0;0;0
46047;Bèlgida;6;89,15;0;0;2;29,72
46048;Bellreguard;1;2,17;0;0;0;0
46049;Bellús;1;32,89;0;0;0;0
46050;Benagéber;0;0;0;0;0;0
46051;Benaguasil;20;18,2;0;0;0;0
46052;Benavites;2;32,31;0;0;1;16,16
46053;Beneixida;0;0;0;0;0;0
46054;Benetússer;21;14,19;0;0;2;1,35
46055;Beniarjó;6;33,99;0;0;0;0
46056;Beniatjar;0;0;0;0;0;0
46057;Benicolet;0;0;0;0;0;0
46058;Benifairó de les Valls;2;9,15;0;0;0;0
46059;Benifairó de la Valldigna;0;0;0;0;0;0
46060;Benifaió;19;15,88;0;0;0;0
46061;Beniflá;0;0;0;0;0;0
46062;Benigánim;7;11,98;0;0;1;1,71
46063;Benimodo;1;4,41;0;0;0;0
46064;Benimuslem;1;15,31;0;0;0;0
46065;Beniparrell;4;20,49;0;0;1;5,12
46066;Benirredrà;2;12,56;0;0;0;0
46067;Benisanó;1;4,42;0;0;0;0
46068;Benissoda;0;0;0;0;0;0
46069;Benisuera;0;0;0;0;0;0
46070;Bétera;127;52,32;1;0,41;15;6,18
46071;Bicorp;2;37,52;0;0;0;0
46072;Bocairent;4;9,54;0;0;0;0
46073;Bolbaite;4;29,5;0;0;1;7,37
46074;Bonrepòs i Mirambell;6;16,26;0;0;0;0
46075;Bufali;1;62,11;0;0;0;0
46076;Bugarra;0;0;0;0;0;0
46077;Buñol;17;18,07;0;0;2;2,13
46078;Burjassot;112;29,46;1;0,26;9;2,37
46079;Calles;0;0;0;0;0;0
46080;Camporrobles;0;0;0;0;0;0
46081;Canals;9;6,62;0;0;2;1,47
46082;Canet d'En Berenguer;10;14,93;0;0;1;1,49
46083;Carcaixent;36;17,68;3;1,47;5;2,46
46084;Càrcer;5;26,85;1;5,37;0;0
46085;Carlet;28;17,95;2;1,28;2;1,28
46086;Carrícola;0;0;0;0;0;0
46087;Casas Altas;0;0;0;0;0;0
46088;Casas Bajas;0;0;0;0;0;0
46089;Casinos;2;7,2;0;0;0;0
46090;Castelló de Rugat;3;13,19;0;0;0;0
46091;Castellonet de la Conquesta;0;0;0;0;0;0
46092;Castielfabib;0;0;0;0;0;0
46093;Catadau;8;28,81;0;0;1;3,6
46094;Catarroja;100;35,56;0;0;13;4,62
46095;Caudete de las Fuentes;0;0;0;0;0;0
46096;Cerdà;0;0;0;0;0;0
46097;Cofrentes;5;44,25;0;0;1;8,85
46098;Corbera;6;19,35;0;0;0;0
46099;Cortes de Pallás;1;12,29;0;0;0;0
46100;Cotes;1;30,03;0;0;0;0
46101;Quart de les Valls;1;10,12;0;0;0;0
46102;Quart de Poblet;46;18,58;0;0;8;3,23
46103;Quartell;36;220,05;0;0;8;48,9
46104;Quatretonda;1;4,52;0;0;0;0
46105;Cullera;27;12,19;1;0,45;1;0,45
46106;Chelva;2;13,43;0;0;1;6,72
46107;Chella;1;4,11;0;0;0;0
46108;Chera;0;0;0;0;0;0
46109;Cheste;14;16,48;0;0;2;2,35
46110;Xirivella;112;37,81;2;0,68;6;2,03
46111;Chiva;35;23,14;2;1,32;11;7,27
