Fecha;Provincia;test_rapidos_total;test_rapidos_positivos;pcr_total;pcr_positivos;codigo_ine;total_pruebas;total_pruebas_positivas;test_porcentaje;pcr_porcentaje;porcentaje_total;sigla
2020-03-16;Segovia;0;0;18;10;40004;18;10;;55.55555555555556;55.55555555555556;SE
2020-03-16;Valladolid;0;0;507;102;47186;507;102;;20.118343195266274;20.118343195266274;VA
2020-03-17;Castilla y León;0;0;2165;680;99999;2165;680;;31.40877598152425;31.40877598152425;CyL
2020-03-18;Salamanca;0;0;444;168;37274;444;168;;37.83783783783784;37.83783783783784;SA
2020-03-18;Soria;0;0;109;78;42173;109;78;;71.55963302752293;71.55963302752293;SO
2020-03-19;Ávila;0;0;196;99;5019;196;99;;50.51020408163265;50.51020408163265;AV
2020-03-19;Salamanca;0;0;547;221;37274;547;221;;40.40219378427788;40.40219378427788;SA
2020-03-21;Segovia;0;0;314;186;40004;314;186;;59.23566878980891;59.23566878980891;SE
2020-03-21;Zamora;0;0;227;60;49275;227;60;;26.431718061674008;26.431718061674008;ZA
2020-03-22;Ávila;0;0;296;158;5019;296;158;;53.37837837837838;53.37837837837838;AV
2020-03-22;Burgos;0;0;859;326;9059;859;326;;37.951105937136205;37.951105937136205;BU
2020-03-22;León;0;0;908;359;24089;908;359;;39.53744493392071;39.53744493392071;LE
2020-03-22;Palencia;0;0;22;3;34120;22;3;;13.636363636363635;13.636363636363635;PA
2020-03-22;Segovia;0;0;375;237;40004;375;237;;63.2;63.2;SE
2020-03-22;Soria;0;0;189;135;42173;189;135;;71.42857142857143;71.42857142857143;SO
2020-03-22;Valladolid;0;0;1643;488;47186;1643;488;;29.701765063907487;29.701765063907487;VA
2020-03-22;Zamora;0;0;276;78;49275;276;78;;28.26086956521739;28.26086956521739;ZA
2020-03-22;Castilla y León;0;0;5525;2236;99999;5525;2236;;40.470588235294116;40.470588235294116;CyL
2020-03-23;Segovia;0;0;521;287;40004;521;287;;55.08637236084453;55.08637236084453;SE
2020-03-24;Zamora;0;0;319;91;49275;319;91;;28.526645768025077;28.526645768025077;ZA
2020-03-26;Palencia;0;0;36;5;34120;36;5;;13.88888888888889;13.88888888888889;PA
2020-03-27;Segovia;0;0;1313;789;40004;1313;789;;60.09139375476009;60.09139375476009;SE
2020-03-27;Castilla y León;0;0;12428;5638;99999;12428;5638;;45.36530415191503;45.36530415191503;CyL
2020-03-30;Soria;0;0;800;534;42173;800;534;;66.75;66.75;SO
2020-03-30;Valladolid;0;0;3991;1453;47186;3991;1453;;36.40691556001002;36.40691556001002;VA
2020-04-01;León;0;0;2866;1176;24089;2866;1176;;41.032798325191905;41.032798325191905;LE
2020-04-03;Zamora;0;0;968;237;49275;968;237;;24.483471074380166;24.483471074380166;ZA
2020-04-04;Ávila;72;9;1842;989;5019;1914;998;12.5;53.69163952225841;52.14211076280042;AV
2020-04-04;Salamanca;8;1;4703;1851;37274;4711;1852;12.5;39.357856687220924;39.31224793037572;SA
2020-04-04;Valladolid;0;0;6406;2238;47186;6406;2238;;34.93599750234155;34.93599750234155;VA
2020-04-05;Ávila;72;9;1922;1022;5019;1994;1031;12.5;53.17377731529657;51.70511534603811;AV
2020-04-05;Soria;0;0;1375;807;42173;1375;807;;58.690909090909095;58.690909090909095;SO
2020-04-05;Castilla y León;124;13;26728;10695;99999;26852;10708;10.483870967741936;40.01421730020952;39.8778489497989;CyL
