FECHA;GERENCIA;NOMBREGERENCIA;CS;CENTRO;FASE DESESCALADA;x_geo;y_geo;zbs_geo;PROVINCIA;Posición;MUNICIPIO
2020-05-13;1703;Gerencia de León;170312;C.S. ERAS DE RENUEVA;Fase 0;-5.4972298;42.723601;ERAS DE RENUEVA;León;42.723601,-5.4972298;GARRAFE DE TORIO/VILLAQUILAMBRE/LEON/SANTA COLOMBA DE CURUEÑO
2020-05-13;1703;Gerencia de León;170315;C.S. CRUCERO;Fase 0;-5.5865679;42.6003574;CRUCERO;León;42.6003574,-5.5865679;LEON/SAN ANDRES DEL RABANEDO
2020-05-13;1703;Gerencia de León;170318;C.S. MANSILLA MULAS;Propuesta Fase 1;-5.3429113;42.4399063;MANSILLA MULAS;León;42.4399063,-5.3429113;MANSILLA MAYOR/SANTA CRISTINA DE VALMADRIGAL/VILLAMORATIEL DE LAS MATAS/VILLATURIEL/BURGO RANERO (EL)/GUSENDOS DE LOS OTEROS/VALVERDE-ENRIQUE/VILLANUEVA DE LAS MANZANAS/VILLASABARIEGO/CAMPO DE VILLAVIDEL/CORBILLOS DE LOS OTEROS/MANSILLA DE LAS MULAS/SANTAS MARTAS
2020-05-13;1703;Gerencia de León;170320;C.S. RIAÑO;Fase 1;-4.9636057;43.0527831;RIAÑO;León;43.0527831,-4.9636057;MARAÑA/RIAÑO/BURON/ACEBEDO/BOCA DE HUERGANO/OSEJA DE SAJAMBRE/POSADA DE VALDEON
2020-05-13;1703;Gerencia de León;170322;C.S. RIBERA DEL ORBIGO;Fase 0;-5.8615923;42.5482323;RIBERA DEL ORBIGO;León;42.5482323,-5.8615923;BUSTILLO DEL PARAMO/CARRIZO/SANTA MARINA DEL REY/HOSPITAL DE ORBIGO/RIELLO/VILLARES DE ORBIGO/BENAVIDES/CIMANES DEL TEJAR/LLAMAS DE LA RIBERA/QUINTANA DEL CASTILLO/TURCIA/VILLADANGOS DEL PARAMO/VILLAREJO DE ORBIGO
2020-05-13;1704;Gerencia de Ponferrada;170401;C.S. BEMBIBRE;Propuesta Fase 1;-6.3377018;42.6657692;BEMBIBRE;León;42.6657692,-6.3377018;VILLAGATON/IGÜEÑA/TORRE DEL BIERZO/BEMBIBRE/CASTROPODAME/FOLGOSO DE LA RIBERA/NOCEDA DEL BIERZO
2020-05-13;1704;Gerencia de Ponferrada;170404;C.S. PONFERRADA I;Propuesta Fase 1;-6.5098923;42.5043763;PONFERRADA I;León;42.5043763,-6.5098923;PONFERRADA/CONGOSTO/MOLINASECA
2020-05-13;1704;Gerencia de Ponferrada;170407;C.S. PUENTE DOMINGO FLOREZ;Propuesta Fase 1;-6.7140276;42.4127795;PUENTE DOMINGO FLOREZ;León;42.4127795,-6.7140276;PUENTE DE DOMINGO FLOREZ/BENUZA/BORRENES/CARUCEDO
2020-05-13;1704;Gerencia de Ponferrada;170409;C.S. VILLABLINO;Propuesta Fase 1;-6.3637869;42.924184;VILLABLINO;León;42.924184,-6.3637869;VILLABLINO/PALACIOS DEL SIL
2020-05-13;1704;Gerencia de Ponferrada;170410;C.S. VILLAFRANCA BIERZO;Propuesta Fase 1;-6.8923344;42.6316166;VILLAFRANCA BIERZO;León;42.6316166,-6.8923344;CARUCEDO/SOBRADO/VILLAFRANCA DEL BIERZO/BARJAS/OENCIA/TRABADELO/VILLADECANES/BALBOA/CORULLON/VEGA DE VALCARCE
2020-05-13;1704;Gerencia de Ponferrada;170411;C.S. PONFERRADA IV;Propuesta Fase 1;-6.6267109;42.5980544;PONFERRADA IV;León;42.5980544,-6.6267109;CABAÑAS RARAS/PONFERRADA
2020-05-13;1705;Gerencia de Palencia;170505;C.S. FROMISTA;Fase 0;-4.3777922;42.2112657;FROMISTA;Palencia;42.2112657,-4.3777922;AMAYUELAS DE ARRIBA/ASTUDILLO/BOADILLA DEL CAMINO/ITERO DEL CASTILLO/MELGAR DE YUSO/REVENGA DE CAMPOS/SAN CEBRIAN DE CAMPOS/SANTOYO/TAMARA DE CAMPOS/VILLALACO/AMUSCO/REQUENA DE CAMPOS/RIBAS DE CAMPOS/FROMISTA/ITERO DE LA VEGA/MARCILLA DE CAMPOS/PIÑA DE CAMPOS/POBLACION DE CAMPOS/VALBUENA DE PISUERGA/VILLODRE/VILLOVIECO
2020-05-13;1705;Gerencia de Palencia;170508;C.S. JARDINILLOS;Fase 0;-4.5383516;42.0122939;JARDINILLOS;Palencia;42.0122939,-4.5383516;PALENCIA
